"Id","ObjectId","Territory2Id","AssociationCause","KeyPrefix","IsDeleted","LastModifiedDate","LastModifiedById","SystemModstamp"
"0JB8a00000GokpWGAR","0018a0000286O6GAAU","0MI8a0000004gDPGAY","Territory2AssignmentRule","001","0","2023-03-03 18:21:33","0058a00000MNWteAAH","2023-03-03 18:21:33"
"0JB8a00000GokpgGAB","0018a0000286O6zAAE","0MI8a0000004gDPGAY","Territory2AssignmentRule","001","0","2023-03-03 18:23:50","0058a00000MNWteAAH","2023-03-03 18:23:50"
"0JB8a00000GwvzbGAB","0018a0000286j2aAAA","0MI8a0000004gDPGAY","Territory2AssignmentRule","001","0","2023-03-06 14:19:40","0058a00000MNWteAAH","2023-03-06 14:19:40"
"0JB8a00000GwwHQGAZ","0018a0000286lueAAA","0MI8a0000004gDeGAI","Territory2AssignmentRule","001","0","2023-03-06 21:05:44","0058a00000MNWtZAAX","2023-03-06 21:05:44"
"0JB8a00000GwwIEGAZ","0018a0000286m03AAA","0MI8a0000004gDeGAI","Territory2AssignmentRule","001","0","2023-03-06 21:20:57","0058a00000MNWtZAAX","2023-03-06 21:20:57"
"0JB8a00000GwwIsGAJ","0018a0000286m4AAAQ","0MI8a0000004gDZGAY","Territory2AssignmentRule","001","0","2023-03-06 21:30:29","0058a00000MNe16AAD","2023-03-06 21:30:29"
"0JB8a00000GwwItGAJ","0018a0000286m4BAAQ","0MI8a0000004gDZGAY","Territory2AssignmentRule","001","0","2023-03-06 21:39:37","0058a00000MNe16AAD","2023-03-06 21:39:37"
"0JB8a00000GwwIxGAJ","0018a0000286m5IAAQ","0MI8a0000004gDZGAY","Territory2AssignmentRule","001","0","2023-03-06 21:34:04","0058a00000MNe16AAD","2023-03-06 21:34:04"
"0JB8a00000GwwJ7GAJ","0018a0000286m8HAAQ","0MI8a0000004gDZGAY","Territory2AssignmentRule","001","0","2023-03-06 21:42:11","0058a00000MNe16AAD","2023-03-06 21:42:11"
"0JB8a00000GwwX9GAJ","0018a0000286rhzAAA","0MI8a0000004gDUGAY","Territory2AssignmentRule","001","0","2023-03-07 16:52:53","0058a00000MNWtKAAX","2023-03-07 16:52:53"
"0JB8a00000GwxF9GAJ","0018a00002872SVAAY","0MI8a0000004gDUGAY","Territory2AssignmentRule","001","0","2023-03-08 20:32:23","0058a00000MNWtKAAX","2023-03-08 20:32:23"
"0JB8a00000GwxosGAB","0018a0000287BacAAE","0MI8a0000004gDZGAY","Territory2AssignmentRule","001","0","2023-03-09 22:04:42","0058a00000MNWtFAAX","2023-03-09 22:04:42"
"0JB8a00000GwyAjGAJ","0018a0000287GwKAAU","0MI8a0000004gDZGAY","Territory2AssignmentRule","001","0","2023-03-10 17:28:16","0058a00000MNWtPAAX","2023-03-10 17:28:16"
"0JB8a00000GwyC1GAJ","0018a0000287GyuAAE","0MI8a0000004gDZGAY","Territory2AssignmentRule","001","0","2023-03-10 17:34:46","0058a00000MNWtPAAX","2023-03-10 17:34:46"
"0JB8a00000GwyDdGAJ","0018a0000287HCqAAM","0MI8a0000004gDZGAY","Territory2AssignmentRule","001","0","2023-03-10 18:07:43","0058a00000MNWtPAAX","2023-03-10 18:07:43"
