"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","RecordId","RecommendationType","InteractionType"
"0Go8a000000PT1fCAG","0058a00000MNWtPAAX","0","00000001","2023-02-20 19:18:59","0058a00000MNWtPAAX","2023-02-20 19:18:59","0058a00000MNWtPAAX","2023-02-20 19:18:59","0068a00001M8WFaAAN","OPPORTUNITY_WITH_OVERDUE_TASK","DISMISS_RECOMMENDATION"
"0Go8a000000PT1kCAG","0058a00000MNWtPAAX","0","00000002","2023-02-20 19:18:59","0058a00000MNWtPAAX","2023-02-20 19:18:59","0058a00000MNWtPAAX","2023-02-20 19:18:59","0068a00001M8WIFAA3","OPPORTUNITY_WITH_OVERDUE_TASK","DISMISS_RECOMMENDATION"
