"Id","IsDeleted","Name","CurrencyIsoCode","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","UserId","Assistant","Status","CompletionDate","PersistedRules","IsArchived"
"4SS8a000000jzb8GAA","0","multi_factor_authentication","MXN","2022-06-01 17:56:10","0058a00000LLRscAAH","2022-12-01 23:15:42","0058a00000LLRscAAH","2022-12-01 23:15:42","0058a00000LLRscAAH","multi_factor_authentication","NotStarted","","mfa_always_show,multi_factor_authentication_premier","0"
"4SS8a000001SBv9GAG","0","csg_einstein_bots","MXN","2023-06-06 01:56:00","0058a00000LLRscAAH","2023-06-06 01:56:00","0058a00000LLRscAAH","2023-06-06 01:56:00","0058a00000LLRscAAH","csg_einstein_bots","NotStarted","","csg_einstein_bots_Visibility","0"
"4SS8a000001SBvAGAW","0","csg_NBA","MXN","2023-06-06 01:56:00","0058a00000LLRscAAH","2023-06-06 01:56:00","0058a00000LLRscAAH","2023-06-06 01:56:00","0058a00000LLRscAAH","csg_NBA","NotStarted","","csg_NBA_Visibility","0"
"4SS8a000001SCKRGA4","0","csg_einstein_bots","MXN","2023-06-09 19:30:20","0058a00000MNWuDAAX","2023-06-09 19:30:20","0058a00000MNWuDAAX","2023-06-09 19:30:20","0058a00000MNWuDAAX","csg_einstein_bots","NotStarted","","csg_einstein_bots_Visibility","0"
"4SS8a000001SCKSGA4","0","csg_NBA","MXN","2023-06-09 19:30:20","0058a00000MNWuDAAX","2023-06-09 19:30:20","0058a00000MNWuDAAX","2023-06-09 19:30:20","0058a00000MNWuDAAX","csg_NBA","NotStarted","","csg_NBA_Visibility","0"
"4SS8a000001Yrn2GAC","0","multi_factor_authentication","000","2022-06-02 18:55:41","0058a00000LN8cxAAD","2022-11-29 22:19:29","0058a00000LN8cxAAD","2022-11-29 22:19:29","0058a00000LN8cxAAD","multi_factor_authentication","NotStarted","","mfa_always_show,multi_factor_authentication_premier","0"
"4SS8a000001Yrn3GAC","0","foundational_top_topics_scenario_hdr","000","2022-06-02 18:55:41","0058a00000LN8cxAAD","2022-06-02 18:55:41","0058a00000LN8cxAAD","2022-06-02 18:55:41","0058a00000LN8cxAAD","foundational_top_topics_scenario_hdr","NotStarted","","abp_always_show","0"
"4SS8a000001s6R3GAI","0","get_to_know_your_success_plan","000","2022-11-29 22:19:29","0058a00000LN8cxAAD","2022-11-29 22:19:29","0058a00000LN8cxAAD","2022-11-29 22:19:29","0058a00000LN8cxAAD","get_to_know_your_success_plan","NotStarted","","csg_success_plan_all","0"
"4SS8a000001s6R4GAI","0","csg_appexchange_assistant","000","2022-11-29 22:19:29","0058a00000LN8cxAAD","2022-11-29 22:19:29","0058a00000LN8cxAAD","2022-11-29 22:19:29","0058a00000LN8cxAAD","csg_appexchange_assistant","NotStarted","","appexchange_show_to_all","0"
"4SS8a000001s6R5GAI","0","trailblazer_communities","000","2022-11-29 22:19:29","0058a00000LN8cxAAD","2022-11-29 22:19:29","0058a00000LN8cxAAD","2022-11-29 22:19:29","0058a00000LN8cxAAD","trailblazer_communities","NotStarted","","trailblazer_community_everyone","0"
