"Id","FolderId","IsDeleted","Name","ContentType","Type","IsPublic","BodyLength","BodyLengthCompressed","Url","Description","Keywords","IsInternalUseOnly","AuthorId","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp"
"0158a000005weODAAY","0058a00000LN8cxAAD","0","AddressDiscovery_2022-12-14 0546.txt","","txt","0","5228","1252","","","","0","0058a00000LN8cxAAD","2022-12-14 23:46:14","0058a00000LN8cxAAD","2022-12-14 23:46:14","0058a00000LN8cxAAD","2022-12-14 23:46:15"
"0158a000005wfcaAAA","0058a00000LN8cxAAD","0","AddressDiscovery_2022-12-20 0312.txt","","txt","0","5228","1252","","","","0","0058a00000LN8cxAAD","2022-12-20 21:12:39","0058a00000LN8cxAAD","2022-12-20 21:12:39","0058a00000LN8cxAAD","2022-12-20 21:12:39"
"0158a000006SwNGAA0","00l8a000002v6bYAAQ","0","Documentation for Salesforce.com Sample Dashboards","application/pdf","pdf","0","1237194","1189283","","","","0","0058a00000LLRscAAH","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02"
"0158a000006SwNHAA0","0058a00000LLRscAAH","0","org_migration.zip","","zip","0","0","8","","","","0","0058a00000LLRscAAH","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02"
