"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","UserId","AppDefinitionId","TabDefinitionId","Target","TargetEntityTypeId","TargetContext","IsNameOverridden","SortOrder"
"0Qk8a000000fArLCAU","0","","2023-01-09 10:52:11","0058a00000LLRscAAH","2023-01-10 21:46:47","0058a00000LLRscAAH","2023-01-10 21:46:47","0058a00000LLRscAAH","06m8a000001ToL3AAK","Opportunity","","TabDefinition","Tab","0","5"
"0Qk8a000000fArMCAU","0","","2023-01-09 10:52:11","0058a00000LLRscAAH","2023-01-10 21:46:47","0058a00000LLRscAAH","2023-01-10 21:46:47","0058a00000LLRscAAH","06m8a000001ToL3AAK","Task","","TabDefinition","Tab","0","6"
"0Qk8a000000fArNCAU","0","","2023-01-09 10:52:11","0058a00000LLRscAAH","2023-01-10 21:46:47","0058a00000LLRscAAH","2023-01-10 21:46:47","0058a00000LLRscAAH","06m8a000001ToL3AAK","Event","","TabDefinition","Tab","0","7"
"0Qk8a000000fArOCAU","0","","2023-01-09 10:52:11","0058a00000LLRscAAH","2023-01-10 21:46:47","0058a00000LLRscAAH","2023-01-10 21:46:47","0058a00000LLRscAAH","06m8a000001ToL3AAK","Dashboard","","TabDefinition","Tab","0","8"
"0Qk8a000000fArPCAU","0","","2023-01-09 10:52:11","0058a00000LLRscAAH","2023-01-10 21:46:47","0058a00000LLRscAAH","2023-01-10 21:46:47","0058a00000LLRscAAH","06m8a000001ToL3AAK","ContentNote","","TabDefinition","Tab","0","9"
"0Qk8a000000fArQCAU","0","","2023-01-09 10:52:11","0058a00000LLRscAAH","2023-01-10 21:46:47","0058a00000LLRscAAH","2023-01-10 21:46:47","0058a00000LLRscAAH","06m8a000001ToL3AAK","report","","TabDefinition","Tab","0","10"
"0Qk8a000000fArRCAU","0","","2023-01-09 10:52:11","0058a00000LLRscAAH","2023-01-10 21:46:47","0058a00000LLRscAAH","2023-01-10 21:46:47","0058a00000LLRscAAH","06m8a000001ToL3AAK","CollaborationGroup","","TabDefinition","Tab","0","11"
"0Qk8a000000fArSCAU","0","","2023-01-09 10:52:11","0058a00000LLRscAAH","2023-01-10 21:46:47","0058a00000LLRscAAH","2023-01-10 21:46:47","0058a00000LLRscAAH","06m8a000001ToL3AAK","Forecasting3","","TabDefinition","Tab","0","12"
"0Qk8a000000fArTCAU","0","","2023-01-09 10:52:11","0058a00000LLRscAAH","2023-01-10 21:46:47","0058a00000LLRscAAH","2023-01-10 21:46:47","0058a00000LLRscAAH","06m8a000001ToL3AAK","File","","TabDefinition","Tab","0","13"
"0Qk8a000000fArUCAU","0","","2023-01-09 10:52:11","0058a00000LLRscAAH","2023-01-10 21:46:47","0058a00000LLRscAAH","2023-01-10 21:46:47","0058a00000LLRscAAH","06m8a000001ToL3AAK","ListEmail","","TabDefinition","Tab","0","14"
