"Id","OpportunityId","ContactId","Role","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","IsDeleted","CurrencyIsoCode"
"00K8a00000YCF80EAH","0068a00001JMUl0AAH","0038a000037J0ggAAC","","2023-02-07 20:47:49","0058a00000MNWtZAAX","2023-02-07 20:47:49","0058a00000MNWtZAAX","2023-02-07 20:47:49","0","PEN"
"00K8a00000ZJDAIEA5","0068a00001Mb1tnAAB","0038a00003DPGfVAAX","","2023-03-08 20:35:49","0058a00000MNWtKAAX","2023-03-08 20:35:49","0058a00000MNWtKAAX","2023-03-08 20:35:49","0","USD"
