"Id","TableEnumOrId","FieldEnumOrId","CreatedById","CreatedDate"
"7378a000003tz20AAA","Contract","Salesrep2Percent","0058a00000LLRscAAH","2022-05-25 20:38:02"
"7378a000003tz21AAA","Contract","Salesrep3","0058a00000LLRscAAH","2022-05-25 20:38:02"
"7378a000003tz22AAA","Contract","Salesrep3Percent","0058a00000LLRscAAH","2022-05-25 20:38:02"
"7378a000003tz23AAA","Contract","ShippingAddress","0058a00000LLRscAAH","2022-05-25 20:38:02"
"7378a000003tz24AAA","Contract","SpecialTerms","0058a00000LLRscAAH","2022-05-25 20:38:02"
"7378a000003tz25AAA","Contract","StartDate","0058a00000LLRscAAH","2022-05-25 20:38:02"
"7378a000003tz26AAA","Contract","Status","0058a00000LLRscAAH","2022-05-25 20:38:02"
"7378a000003tz27AAA","Contract","TaxExemptionCode","0058a00000LLRscAAH","2022-05-25 20:38:02"
"7378a000003tz28AAA","Order","BillToContact","0058a00000LLRscAAH","2022-05-25 20:38:02"
"7378a000003tz29AAA","Order","BillingAddress","0058a00000LLRscAAH","2022-05-25 20:38:02"
"7378a000003tz2AAAQ","Order","CompanyAuthorizedBy","0058a00000LLRscAAH","2022-05-25 20:38:02"
"7378a000003tz2BAAQ","Order","CompanyAuthorizedDate","0058a00000LLRscAAH","2022-05-25 20:38:02"
"7378a000003tz2CAAQ","Order","CustomerAuthorizedBy","0058a00000LLRscAAH","2022-05-25 20:38:02"
"7378a000003tz2DAAQ","Order","CustomerAuthorizedDate","0058a00000LLRscAAH","2022-05-25 20:38:02"
"7378a000003tz2EAAQ","Order","Description","0058a00000LLRscAAH","2022-05-25 20:38:02"
"7378a000003tz2FAAQ","Order","EffectiveDate","0058a00000LLRscAAH","2022-05-25 20:38:02"
"7378a000003tz2GAAQ","Order","Name","0058a00000LLRscAAH","2022-05-25 20:38:02"
"7378a000003tz2HAAQ","Order","OrderReferenceNumber","0058a00000LLRscAAH","2022-05-25 20:38:02"
"7378a000003tz2IAAQ","Order","PoDate","0058a00000LLRscAAH","2022-05-25 20:38:02"
"7378a000003tz2JAAQ","Order","PoNumber","0058a00000LLRscAAH","2022-05-25 20:38:02"
"7378a000003tz2KAAQ","Order","ShipToContact","0058a00000LLRscAAH","2022-05-25 20:38:02"
"7378a000003tz2LAAQ","Order","ShippingAddress","0058a00000LLRscAAH","2022-05-25 20:38:02"
"7378a000003tz2MAAQ","Order","Status","0058a00000LLRscAAH","2022-05-25 20:38:02"
"7378a000003tz2NAAQ","Order","TotalAmount","0058a00000LLRscAAH","2022-05-25 20:38:02"
"7378a000003tz2OAAQ","Order","Type","0058a00000LLRscAAH","2022-05-25 20:38:02"
"7378a000003tz2PAAQ","Solution","CurrencyIsoCode","0058a00000LLRscAAH","2022-05-25 20:38:02"
"7378a000003tz2QAAQ","Solution","IsPublished","0058a00000LLRscAAH","2022-05-25 20:38:02"
"7378a000003tz2RAAQ","Solution","IsPublishedInPublicKb","0058a00000LLRscAAH","2022-05-25 20:38:02"
"7378a000003tz2SAAQ","Solution","Owner","0058a00000LLRscAAH","2022-05-25 20:38:02"
"7378a000003tz2TAAQ","Solution","RecordType","0058a00000LLRscAAH","2022-05-25 20:38:02"
"7378a000003tz2UAAQ","Solution","SolutionName","0058a00000LLRscAAH","2022-05-25 20:38:02"
"7378a000003tz2VAAQ","Solution","SolutionNote","0058a00000LLRscAAH","2022-05-25 20:38:02"
"7378a000003tz2WAAQ","Solution","Status","0058a00000LLRscAAH","2022-05-25 20:38:02"
