"Id","OwnerId","IsDeleted","Name","CurrencyIsoCode","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","UserId","Month","AllEmailsTrackedSentCount","AllEmailsOpenedCount","AllEmailsRepliedCount","AllEmailsLinkClickedCount","AllEmailsHardBouncedCount","AllEmailsSoftBouncedCount","AllEmailsOutOfOfficeCount","AllCallsMeaningfulConnect","AllCallsNotInterested","AllCallsUnqualified","AllCallsLeftVoicemail","AllCallsCallBackLater","AllCallsUncategorized","UniqueEmailsOpenedCount","UniqueEmailsRepliedCount","UniqueEmailsLinkClickedCount","StartDateTime","EndDateTime","MonthInt","AllEmailsUntrackedSentCount","LinkClickTrackableSends","OpenTrackableSends","ReplyTrackableSends","SoftBounceTrackableSends","HardBounceTrackableSends","OutOfOfficeTrackableSends","LinkClkTrackableRecipientSends","OpenTrackableRecipientSends","ReplyTrackableRecipientSends","SftBncTrackableRecipientSends","HrdBncTrackableRecipientSends","OooTrackableRecipientSends","RecipientSends","RecipientReplies","RecipientsHardBounced","RecipientsSoftBounced","RecipientsOutOfOffice","AllEmailsNotDeliveredCount"
"0mM8a0000004bn0EAA","0058a00000MNWtKAAX","0","","MXN","2023-06-01 19:49:00","0058a00000L2IR7AAN","2023-06-29 17:04:10","0058a00000L2IR7AAN","2023-06-29 17:04:10","0058a00000MNWtKAAX","2023-06-01 00:00:00","","43","","","","","","","","","","","","1","","","","","202306","","","","","","","","","","","","","","","","","","",""
"0mM8a0000004c2UEAQ","0058a00000MNWtKAAX","0","","MXN","2023-07-03 16:27:23","0058a00000L2IR7AAN","2023-07-24 21:30:02","0058a00000L2IR7AAN","2023-07-24 21:30:02","0058a00000MNWtKAAX","2023-07-01 00:00:00","","6","","","","","","","","","","","","","","","","","202307","","","","","","","","","","","","","","","","","","",""
"0mM8a0000004cgUEAQ","0058a00000MNWtKAAX","0","","MXN","2023-08-02 17:54:55","0058a00000L2IR7AAN","2023-08-30 22:44:20","0058a00000L2IR7AAN","2023-08-30 22:44:20","0058a00000MNWtKAAX","2023-08-01 00:00:00","","7","","","","","","","","","","","","1","","","","","202308","","","","","","","","","","","","","","","","","","",""
"0mM8a000000PqHeEAK","0058a00000MNWtKAAX","0","","MXN","2023-02-13 02:13:16","0058a00000L2IR7AAN","2023-02-28 17:03:46","0058a00000L2IR7AAN","2023-02-28 17:03:46","0058a00000MNWtKAAX","2023-02-01 00:00:00","26","113","","","","","","","","","","","","32","","","","","202302","1","","26","","18","18","","","26","","18","18","","27","","","","",""
"0mM8a000000PqPdEAK","0058a00000MNWtKAAX","0","","MXN","2023-03-01 16:42:45","0058a00000L2IR7AAN","2023-03-30 21:33:18","0058a00000L2IR7AAN","2023-03-30 21:33:18","0058a00000MNWtKAAX","2023-03-01 00:00:00","53","136","","","","","","","","","","","","50","","","","","202303","","","53","","43","43","","","63","","43","43","","63","","","","",""
"0mM8a000000oYvzEAE","0058a00000MNWtKAAX","0","","MXN","2023-04-03 19:49:56","0058a00000L2IR7AAN","2023-04-30 05:21:00","0058a00000L2IR7AAN","2023-04-30 05:21:00","0058a00000MNWtKAAX","2023-04-01 00:00:00","100","147","","","2","","","","","","","","","82","","","","","202304","1","","100","","98","98","","","100","","98","98","","103","","2","","",""
"0mM8a000000oZDyEAM","0058a00000MNWtKAAX","0","","MXN","2023-05-02 14:37:56","0058a00000L2IR7AAN","2023-05-31 22:17:22","0058a00000L2IR7AAN","2023-05-31 22:17:22","0058a00000MNWtKAAX","2023-05-01 00:00:00","59","162","","","","1","","","","","","","","52","","","","","202305","","","59","","59","59","","","59","","59","59","","59","","","1","",""
