"Id","OpportunityId","AccountFromId","AccountToId","Role","IsPrimary","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","IsDeleted","ReversePartnerId"
"00I8a000006TGKSEA4","000000000000000AAA","0018a000023ijhhAAA","0018a000023iQqoAAE","","0","2022-12-21 14:41:44","0058a00000MNWuDAAX","2022-12-21 14:41:44","0058a00000MNWuDAAX","2022-12-21 14:41:44","0","00I8a000006TGKTEA4"
"00I8a000006TGKTEA4","000000000000000AAA","0018a000023iQqoAAE","0018a000023ijhhAAA","","0","2022-12-21 14:41:44","0058a00000MNWuDAAX","2022-12-21 14:41:44","0058a00000MNWuDAAX","2022-12-21 14:41:44","0","00I8a000006TGKSEA4"
